PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[PFMIndice.Date J],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Holding Date 2]
EXPORT_PRMP_ADP,2026-03-10T00:00:00,Groupe MH,MHP,MHP2D,FR0007021936,FEDERIS ISR FRANCE MH,492.25,2026-03-06T00:00:00,P,900,1,140329.71999999997,140329.71999999997,443025,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873258,PP_FAC_Act_EUR_LC,140329.71999999997,302695.28,M7EM,-0.00643518264965229,440174.0532066378,299844.3332066378,MHP AG,Hors mandat MHP AG,0,299844.3332066378,440174.0532066378,2026-03-09T00:00:00,PP_FAC_Act,MHP EDIT HM ACT COTE,2026-03-10T00:00:00
EXPORT_PRMP_ADP,2026-03-10T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007475975,MH Lazard action euro LC,493.14,2026-03-06T00:00:00,P,114872.6982,1,20164514.04732495,20164514.04732495,56648322.39,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,20164514.04732495,36483808.342675045,M7EM,-0.00643518264965229,56283780.08862396,36119266.041299015,AUXIA AG,Hors mandat AUXIA AG,0,36119266.041299015,56283780.08862397,2026-03-09T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-10T00:00:00
EXPORT_PRMP_ADP,2026-03-10T00:00:00,Groupe MH,AUXIA,AUX2E,FR0011441583,LBPAM ISR Opti Euro Equity MH,2455.85,2026-03-06T00:00:00,P,7888,1,8412826.24,8412826.24,19371744.8,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873494,PP_FAC_Act_EUR_LC,8412826.24,10958918.56,M7EM,-0.00643518264965229,19247084.08396955,10834257.843969548,AUXIA AG,Hors mandat AUXIA AG,0,10834257.843969548,19247084.08396955,2026-03-09T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-10T00:00:00
EXPORT_PRMP_ADP,2026-03-10T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007021936,FEDERIS ISR FRANCE MH,458.48,2026-03-06T00:00:00,P,60537,1,11652333.39,11652333.39,27755003.76,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873258,PP_FAC_Act_EUR_LC,11652333.39,16102670.370000001,M7EM,-0.00643518264965229,27576395.241362616,15924061.851362616,AUXIA AG,Hors mandat AUXIA AG,0,15924061.851362616,27576395.241362616,2026-03-09T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-10T00:00:00
EXPORT_PRMP_ADP,2026-03-10T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6401.62,2026-03-06T00:00:00,P,840,1,1476258,1476258,5377360.8,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,1476258,3901102.8,M7EM,-0.00643518264965229,5342756.5010789195,3866498.5010789195,AUXIA AG,Hors mandat AUXIA AG,0,3866498.5010789195,5342756.5010789195,2026-03-09T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-10T00:00:00
EXPORT_PRMP_ADP,2026-03-10T00:00:00,Groupe MH,AUXIA,AUX2E,FR0000986531,SELECTION VALEURS MOYENNES,977.14,2026-03-06T00:00:00,P,22218,1,8865004.54,8865004.54,21710096.52,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,8865004.54,12845091.98,M7EM,-0.00643518264965229,21570388.08355222,12705383.54355222,AUXIA AG,Hors mandat AUXIA AG,0,12705383.54355222,21570388.08355222,2026-03-09T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-10T00:00:00
EXPORT_PRMP_ADP,2026-03-10T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007057674,FEDERIS ISR ACTIONS US MM,4423.07,2026-03-06T00:00:00,P,8994,1,20430170.310000002,20430170.310000002,39781091.58,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,20430170.310000002,19350921.269999996,,0,39781091.58,19350921.269999996,AUXIA AG,Hors mandat AUXIA AG,0,19350921.269999996,39781091.58,,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-10T00:00:00
EXPORT_PRMP_ADP,2026-03-10T00:00:00,Groupe MH,AUXIA,AUX2E,FR001400CCX3,GEMEQUITY PART MH,147.22,2026-03-06T00:00:00,P,10886,1,1080979.8,1080979.8,1602636.92,PP,FC_Act_Emerg,PP_FAC_Act_Eme,XL41,9588501,PP_FAC_Act_Eme,1080979.8,521657.1199999999,MSDEEEMN,-0.0312286070651039,1552588.8013572916,471609.0013572916,AUXIA AG,Hors mandat AUXIA AG,0,471609.0013572916,1552588.8013572916,2026-03-09T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-10T00:00:00
EXPORT_PRMP_ADP,2026-03-10T00:00:00,Groupe MH,AUXIA,AUX2E,LU2541301847,EdRF EM Climate Bonds S EUR H,108.39,2026-03-06T00:00:00,P,35239,1,3518261.7600000007,3518261.7600000002,3819555.21,PP,FC_Taux_Emerg,PP_FAC_Taux_Eme,LU42,11008396,PP_FAC_Taux_Eme,3518261.7600000002,301293.4499999997,,0,3819555.21,301293.4499999997,AUXIA AG,Hors mandat AUXIA AG,0,301293.4499999997,3819555.21,,PP_FAC_Taux,AUXIA HM ACT COTE,2026-03-10T00:00:00
EXPORT_PRMP_ADP,2026-03-10T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007040365,MH EDRAM HYBRIDES CORPORATE,33732.91,2026-03-06T00:00:00,P,186,1,5000211.96,5000211.96,6274321.26,PP,FC_Taux_HY,PP_FAC_Taux_Corp_HY,XL42,1334621,PP_FAC_Taux_Corp_HY,5000211.96,1274109.2999999998,HE00,-0.0067752814132465,6231810.967786385,1231599.0077863848,AUXIA AG,Hors mandat AUXIA AG,0,1231599.0077863848,6231810.967786385,2026-03-09T00:00:00,PP_FAC_Taux,AUXIA HM ACT COTE,2026-03-10T00:00:00
